"Marker","Female_mean","Female_min","Female_max","Female_sd","Male_mean","Male_min","Male_max","Male_sd"
"Neutral",0.122668252080856,0,0.68,0.135697810029024,0.124651208878319,0,0.66,0.135045406832154
"Outliers",0.0402752293577982,0,0.18,0.0294826318387676,0.0249357798165138,0,0.13,0.0242165002197387
"Sex-linked",0.811736111111111,0.1,0.98,0.15215446882962,0.0706944444444444,0,0.3,0.0438663281179018
